V1,V2,V3,V4,V5,V6,V7,Class
5,1,42930,42922,31512,54069,22462,6
5,3,28339,28335,112195,68033,81203,10
3,1,134148,134128,13783,91376,10739,3
1,3,107183,107166,134182,88630,147417,3
1,4,120493,120475,79861,32921,151901,7
5,2,37648,37640,59793,131495,106463,4
1,4,115137,115119,73343,53874,154711,7
1,3,117945,117927,46169,73850,134519,3
4,4,45621,45613,73762,101435,160529,3
3,2,161652,161627,89917,104263,8442,4
2,4,76981,76967,156407,32540,11658,4
4,3,69705,69691,144985,95512,149479,3
5,4,20609,20605,78798,51615,159893,3
4,3,74316,74302,21567,137204,63065,4
5,1,36582,36574,96472,85735,61348,4
3,1,155585,155561,109885,50869,42653,3
2,2,77826,77812,63270,139044,111611,4
2,1,85665,85651,40400,61169,28662,3
3,2,159260,159235,32193,58281,77500,3
5,3,25257,25253,36251,114679,137504,3
5,3,21476,21472,148646,70175,60261,4
1,1,132591,132571,32864,119769,56722,10
3,3,145418,145398,26372,198,101820,4
5,4,37809,37801,5998,159739,59843,4
4,1,63522,63509,62253,98993,1646,6
4,3,68604,68590,21989,134194,69405,4
2,2,101152,101136,94337,5766,7495,4
4,4,71100,71086,114224,106296,161059,3
5,4,19177,19174,113502,30430,77806,10
4,1,66183,66170,47813,97628,23286,3
2,2,92321,92306,150457,5677,56243,9
1,4,116717,116699,15513,114737,12018,6
2,2,96498,96483,119674,76213,105193,4
1,3,123963,123945,155861,14694,4653,4
4,2,46673,46665,65356,14376,31270,3
4,2,52381,52373,108443,78159,13316,4
4,2,54488,54480,86354,8315,14738,4
5,1,3094,3094,80817,157229,112919,4
1,3,130458,130438,154545,81220,135626,4
5,3,32654,32648,113740,65095,113858,2
1,3,121479,121461,23190,149287,86816,4
2,1,96133,96118,30738,129127,74672,10
4,2,58003,57992,90937,125947,56091,7
2,1,90905,90891,129087,34595,110683,4
2,3,104792,104776,18210,157248,122133,4
2,1,86628,86614,149644,37877,81991,9
2,4,103426,103410,83132,83427,154169,7
3,2,137220,137200,142485,71892,68422,7
5,3,14180,14179,84239,69109,136367,7
3,4,157223,157199,9166,150419,40872,4
1,3,121721,121703,23083,149376,84766,4
2,2,91169,91155,89251,43572,82316,10
2,3,103832,103816,125638,68096,128730,9
5,2,33831,33825,44833,90775,75143,3
3,1,159857,159832,140028,113823,60678,4
5,3,40020,40012,66880,39350,124448,7
1,2,106702,106685,117220,52489,88584,4
1,4,128016,127996,120462,117255,162355,3
2,3,87224,87210,21231,161871,101811,4
1,3,106761,106744,156616,49933,116667,4
4,3,58096,58085,58350,27131,120776,7
2,1,78243,78229,51495,105060,8259,3
1,3,114736,114718,101291,75716,125001,8
2,4,99322,99306,136398,135089,110095,4
2,3,84401,84387,121420,143841,157769,4
5,3,2058,2058,163425,27415,21624,4
1,2,129506,129486,37028,131098,48566,4
4,3,58392,58381,20281,82101,149757,3
4,1,43967,43959,115289,122422,68328,3
3,4,160050,160025,158891,105138,159317,10
1,1,106142,106125,113365,108133,16856,7
3,3,144573,144553,27107,147896,64690,4
1,4,132224,132204,9750,156058,81360,4
1,3,106701,106684,159254,4549,6284,4
4,1,54236,54228,82321,5885,80361,4
1,1,128627,128607,101882,121565,13664,7
1,4,120712,120694,102220,12773,128618,9
2,3,80826,80812,81514,105136,134698,3
1,1,129145,129125,132198,15980,61887,4
5,4,24259,24255,44643,110573,161220,3
4,2,50820,50812,35262,110033,28759,4
5,2,18488,18485,141391,93234,138239,1
3,2,135600,135580,50124,113197,30077,10
3,1,138563,138543,87478,135768,113285,3
4,1,52745,52737,123515,105561,57682,10
5,2,34831,34825,1328,73033,54906,3
1,1,119859,119841,117360,3523,72075,4
1,2,112013,111995,78333,42800,3925,7
3,4,158214,158190,19798,76538,154380,10
5,1,38936,38928,124603,54019,54520,4
5,1,34920,34914,13434,41194,11863,3
2,2,79476,79462,85385,93744,37477,3
2,1,87857,87843,4019,134355,22590,6
2,2,92046,92032,138857,27252,98663,7
2,2,96698,96683,119753,76153,95840,4
4,2,48772,48764,92341,116904,18431,9
3,3,154245,154222,20741,152153,95745,4
1,3,120614,120596,103968,13341,138436,7
2,1,92157,92143,156471,58678,84493,9
4,4,74853,74839,32814,110149,155640,3
5,1,39109,39101,137708,94740,23816,4
1,3,124719,124701,16224,149722,104324,10
2,3,93170,93155,18501,156615,117741,4
3,2,135379,135359,54574,149124,101368,4
5,3,10448,10447,86843,52207,144037,3
1,1,133003,132983,10044,98321,24063,4
4,3,68853,68839,32131,57989,140374,3
3,2,135579,135559,47438,104806,25044,10
5,1,35360,35353,129757,109744,57006,7
3,1,160629,160604,63741,161253,80377,4
5,3,35772,35765,98008,118502,142268,11
2,3,83948,83934,12489,159782,22061,5
5,3,8770,8769,38023,50653,14900,6
3,3,135382,135362,24662,150685,63139,4
4,1,47832,47824,76591,87594,7255,3
1,2,126620,126600,47611,3029,60953,9
5,1,16478,16475,28939,104277,26692,6
5,1,26045,26041,32679,34748,2383,10
3,3,164739,164714,20480,96305,143559,10
5,1,20484,20480,27583,53892,21195,3
5,2,22526,22522,95031,71040,48135,7
4,2,55090,55082,118326,59534,135678,7
2,4,93877,93862,38585,222,38702,10
3,1,164433,164408,14917,71033,20561,4
4,1,64135,64122,163442,118609,16501,3
5,3,33093,33087,137062,135992,158278,4
4,3,51412,51404,10194,85422,145797,3
4,2,50661,50653,44918,62000,36632,6
1,4,114034,114016,159546,4647,114790,4
1,4,124301,124283,6045,132955,113101,4
2,3,82073,82059,27293,48026,30985,10
4,1,68810,68796,50362,100823,9807,10
2,3,93588,93573,163522,163513,164249,6
5,1,8880,8879,42332,15557,23778,10
1,4,116875,116857,15401,80638,103157,6
1,2,129594,129574,52103,132064,20951,4
4,1,54327,54319,92621,17917,106890,4
3,4,145107,145087,13994,57096,119705,5
5,4,41058,41050,89108,60889,121529,9
4,3,62733,62720,18239,116571,25895,4
1,2,127440,127420,36474,817,39743,6
1,4,112510,112492,161146,92348,24656,4
3,1,148924,148903,113762,14623,143138,4
2,1,90193,90179,61962,142450,70709,4
3,3,133787,133767,99277,147014,134693,7
1,3,113284,113266,22045,115404,112609,4
1,1,124107,124089,144244,96671,55883,3
5,1,9162,9161,148664,127143,109301,3
3,4,134461,134441,160902,56499,15108,4
1,3,108211,108193,156894,50716,91235,4
1,1,106810,106793,101770,11744,75771,4
2,2,78627,78613,130849,42538,34921,1
1,2,128757,128737,127897,7675,20860,4
4,1,43885,43877,140256,108157,81803,3
4,3,71124,71110,101294,128578,136227,3
4,2,69075,69061,43849,78843,8031,6
4,1,46055,46047,58243,162193,93705,4
5,1,34646,34640,87124,122820,64542,3
5,4,16439,16436,6711,4816,3391,6
2,2,104821,104805,76161,134766,111202,4
1,2,107042,107025,101541,16492,82823,10
5,3,6547,6547,133269,50607,112020,9
2,3,91946,91932,84305,61337,130314,7
5,2,32723,32717,120420,88773,30871,3
5,1,37116,37108,72469,35039,38123,3
4,2,53704,53696,33390,103296,58791,10
3,1,159402,159377,47257,22162,3093,3
2,3,105709,105692,41894,82504,145386,3
2,4,77923,77909,10769,156594,46933,4
4,1,74731,74717,86367,102703,131067,10
3,3,139575,139555,163458,132420,143813,3
1,2,115154,115136,104450,44522,102930,7
1,3,109599,109581,126796,40691,135276,9
4,2,73661,73647,130565,62278,130079,9
5,4,27728,27724,162725,44235,60038,4
3,4,138514,138494,141871,136899,153841,10
1,1,116249,116231,61978,115724,132674,4
5,2,7666,7665,51297,158824,66798,4
1,3,112119,112101,46769,41949,122205,7
5,2,21616,21612,134988,136707,61845,10
5,1,11074,11073,114740,58928,70616,10
3,4,143964,143944,135559,76236,126954,9
4,2,67998,67985,120556,133040,62326,9
2,4,102841,102825,151365,44562,93966,10
4,1,69753,69739,102766,123812,20677,3
2,1,97782,97766,150957,40518,107442,9
3,1,155867,155843,111277,37080,107003,7
4,2,47995,47987,91174,55605,78506,7
5,4,26974,26970,91001,139409,147527,7
5,2,13966,13965,102225,60034,112615,7
3,4,138682,138662,4211,7292,150983,3
3,1,137772,137752,137770,92762,55458,2
5,3,10864,10863,151478,21375,99374,4
5,2,24268,24264,101165,129451,50235,3
3,4,137814,137794,132130,112980,146580,2
2,2,78336,78322,95131,87357,20374,3
5,4,3658,3658,16927,150080,127996,10
2,2,78978,78964,135398,27533,43981,4
2,3,82732,82718,50867,6851,56048,7
3,4,145191,145171,17222,12681,135493,6
5,3,43172,43164,8131,35556,25885,4
1,3,114207,114189,155356,22644,82165,4
4,4,74752,74738,12332,142218,114728,10
3,1,156174,156150,119162,30307,93875,7
5,2,28926,28922,58048,140989,118295,4
1,4,113154,113136,41866,108795,124570,5
1,3,129623,129603,19808,158554,87724,4
1,2,120625,120607,137998,24963,80914,7
2,2,82022,82008,8809,112834,48838,10
2,1,97403,97387,84158,21995,96488,7
5,3,43077,43069,8383,39194,4537,4
4,4,49522,49514,73138,128079,160655,3
1,2,113135,113117,71472,123125,21728,3
5,3,16412,16409,17479,80474,38930,5
1,4,115639,115621,89596,20281,127698,9
2,1,97691,97675,104245,45715,94308,7
1,1,127880,127860,10431,5799,605,10
3,4,156621,156597,117752,44116,131797,9
2,1,93083,93068,63980,140363,84097,4
2,2,77527,77513,34619,123961,31809,5
1,2,113952,113934,137213,27511,36759,1
